Date,META,AAPL,AMZN,NFLX,GOOG
2018-01-02,181.4199981689453,43.064998626708984,59.45050048828125,201.07000732421875,53.25
2018-01-03,184.6699981689453,43.057498931884766,60.209999084472656,205.0500030517578,54.124000549316406
2018-01-04,184.3300018310547,43.25749969482422,60.47949981689453,205.6300048828125,54.31999969482422
2018-01-05,186.85000610351562,43.75,61.457000732421875,209.99000549316406,55.11149978637695
2018-01-08,188.27999877929688,43.587501525878906,62.34349822998047,212.0500030517578,55.34700012207031
2018-01-09,187.8699951171875,43.58250045776367,62.6349983215332,209.30999755859375,55.3129997253418
2018-01-10,187.83999633789062,43.5724983215332,62.71649932861328,212.52000427246094,55.13050079345703
2018-01-11,187.77000427246094,43.81999969482422,63.83399963378906,217.24000549316406,55.2760009765625
2018-01-12,179.3699951171875,44.272499084472656,65.26000213623047,221.22999572753906,56.112998962402344
2018-01-16,178.38999938964844,44.04750061035156,65.24299621582031,221.52999877929688,56.0880012512207
2018-01-17,177.60000610351562,44.775001525878906,64.75,217.5,56.5989990234375
2018-01-18,179.8000030517578,44.814998626708984,64.66600036621094,220.3300018310547,56.489498138427734
2018-01-19,181.2899932861328,44.6150016784668,64.72899627685547,220.4600067138672,56.8754997253418
2018-01-22,185.3699951171875,44.25,66.3655014038086,227.5800018310547,57.79050064086914
2018-01-23,189.35000610351562,44.2599983215332,68.12699890136719,250.2899932861328,58.49850082397461
2018-01-24,186.5500030517578,43.55500030517578,67.87550354003906,261.29998779296875,58.21200180053711
2018-01-25,187.47999572753906,42.77750015258789,68.89749908447266,269.70001220703125,58.51850128173828
2018-01-26,190.0,42.877498626708984,70.10250091552734,274.6000061035156,58.79199981689453
2018-01-29,185.97999572753906,41.9900016784668,70.88400268554688,284.5899963378906,58.77899932861328
2018-01-30,187.1199951171875,41.74250030517578,71.89099884033203,278.79998779296875,58.18450164794922
2018-01-31,186.88999938964844,41.85749816894531,72.54450225830078,270.29998779296875,58.49700164794922
2018-02-01,193.08999633789062,41.94499969482422,69.5,265.07000732421875,58.3849983215332
2018-02-02,190.27999877929688,40.125,71.49749755859375,267.42999267578125,55.595001220703125
2018-02-05,181.25999450683594,39.122501373291016,69.5,254.25999450683594,52.790000915527344
2018-02-06,185.30999755859375,40.75749969482422,72.14199829101562,265.7200012207031,54.029998779296875
2018-02-07,180.17999267578125,39.8849983215332,70.83899688720703,264.55999755859375,52.42900085449219
2018-02-08,171.5800018310547,38.787498474121094,67.5250015258789,250.10000610351562,50.07600021362305
2018-02-09,176.11000061035156,39.102500915527344,66.9800033569336,249.47000122070312,51.888999938964844
2018-02-12,176.41000366210938,40.6775016784668,69.3115005493164,257.95001220703125,52.59700012207031
2018-02-13,173.14999389648438,41.084999084472656,70.72550201416016,258.2699890136719,52.60499954223633
2018-02-14,179.52000427246094,41.842498779296875,72.55249786376953,266.0,53.48500061035156
2018-02-15,179.9600067138672,43.247501373291016,73.08799743652344,280.2699890136719,54.47600173950195
2018-02-16,177.36000061035156,43.10749816894531,72.43450164794922,278.5199890136719,54.7400016784668
2018-02-20,176.00999450683594,42.962501525878906,73.4175033569336,278.54998779296875,55.12300109863281
2018-02-21,177.91000366210938,42.76750183105469,74.14600372314453,281.0400085449219,55.56700134277344
2018-02-22,178.99000549316406,43.125,74.26699829101562,278.1400146484375,55.33150100708008
2018-02-23,183.2899932861328,43.875,75.0,285.92999267578125,56.339500427246094
2018-02-26,184.92999267578125,44.74250030517578,76.09750366210938,294.1600036621094,57.1875
2018-02-27,181.4600067138672,44.59749984741211,75.5989990234375,290.6099853515625,55.91450119018555
2018-02-28,178.32000732421875,44.529998779296875,75.62249755859375,291.3800048828125,55.23649978637695
2018-03-01,175.94000244140625,43.75,74.67250061035156,290.3900146484375,53.47600173950195
2018-03-02,176.6199951171875,44.0525016784668,75.01249694824219,301.04998779296875,53.94599914550781
2018-03-05,180.39999389648438,44.20500183105469,76.18049621582031,315.0,54.54650115966797
2018-03-06,179.77999877929688,44.16749954223633,76.88200378417969,325.2200012207031,54.75299835205078
2018-03-07,183.7100067138672,43.75749969482422,77.25,321.1600036621094,55.481998443603516
2018-03-08,182.33999633789062,44.23500061035156,77.59300231933594,317.0,56.29999923706055
2018-03-09,185.22999572753906,44.994998931884766,78.94450378417969,331.44000244140625,58.00199890136719
2018-03-12,184.75999450683594,45.43000030517578,79.91950225830078,321.29998779296875,58.224998474121094
2018-03-13,181.8800048828125,44.99250030517578,79.40899658203125,315.8800048828125,56.90850067138672
2018-03-14,184.19000244140625,44.61000061035156,79.55000305175781,321.54998779296875,57.4744987487793
2018-03-15,183.86000061035156,44.662498474121094,79.11599731445312,321.0899963378906,57.479000091552734
2018-03-16,185.08999633789062,44.505001068115234,78.58399963378906,318.45001220703125,56.7864990234375
2018-03-19,172.55999755859375,43.82500076293945,77.24649810791016,313.4800109863281,54.99100112915039
2018-03-20,168.14999389648438,43.810001373291016,79.32550048828125,317.5,54.885501861572266
2018-03-21,169.38999938964844,42.817501068115234,79.09300231933594,316.4800109863281,54.54399871826172
2018-03-22,164.88999938964844,42.212501525878906,77.24600219726562,306.70001220703125,52.45399856567383
2018-03-23,159.38999938964844,41.23500061035156,74.77799987792969,300.94000244140625,51.07849884033203
2018-03-26,160.05999755859375,43.192501068115234,77.79299926757812,320.3500061035156,52.660499572753906
2018-03-27,152.22000122070312,42.084999084472656,74.85250091552734,300.69000244140625,50.255001068115234
2018-03-28,153.02999877929688,41.619998931884766,71.57099914550781,285.7699890136719,50.22800064086914
