Date,AAPL,MSFT,GOOGL
2018-08-13 00:00:00-04:00,50.07798767089844,102.34475708007812,62.43199920654297
2018-08-14 00:00:00-04:00,50.28896713256836,103.6216049194336,62.90700149536133
2018-08-15 00:00:00-04:00,50.406455993652344,102.21642303466797,61.611000061035156
2018-08-16 00:00:00-04:00,51.14490509033203,102.19744110107422,61.202999114990234
2018-08-17 00:00:00-04:00,52.166263580322266,102.1404800415039,60.79249954223633
2018-08-20 00:00:00-04:00,51.657989501953125,101.46637725830078,61.09749984741211
2018-08-21 00:00:00-04:00,51.557289123535156,100.62139129638672,60.87049865722656
2018-08-22 00:00:00-04:00,51.55968475341797,101.64677429199219,61.087501525878906
2018-08-23 00:00:00-04:00,51.665184020996094,102.12149047851562,61.05799865722656
2018-08-24 00:00:00-04:00,51.82581329345703,102.91902160644531,61.837501525878906
2018-08-27 00:00:00-04:00,52.25258255004883,104.05834197998047,62.813499450683594
2018-08-28 00:00:00-04:00,52.674556732177734,104.68498229980469,62.292999267578125
2018-08-29 00:00:00-04:00,53.46095657348633,106.35598754882812,63.23249816894531
2018-08-30 00:00:00-04:00,53.95246124267578,106.28952026367188,62.72200012207031
2018-08-31 00:00:00-04:00,54.575828552246094,106.65031433105469,61.59000015258789
2018-09-04 00:00:00-04:00,54.7508544921875,106.0616455078125,60.56549835205078
2018-09-05 00:00:00-04:00,54.39361572265625,103.00447845458984,59.95500183105469
2018-09-06 00:00:00-04:00,53.48972702026367,103.2418441772461,59.199501037597656
2018-09-07 00:00:00-04:00,53.05816650390625,102.73861694335938,58.87950134277344
2018-09-10 00:00:00-04:00,52.34608459472656,103.84945678710938,58.75299835205078
2018-09-11 00:00:00-04:00,53.66954803466797,105.61542510986328,59.4995002746582
2018-09-12 00:00:00-04:00,53.003021240234375,106.0616455078125,58.58000183105469
2018-09-13 00:00:00-04:00,54.283329010009766,107.20098876953125,59.106998443603516
2018-09-14 00:00:00-04:00,53.66714859008789,107.63774871826172,58.89899826049805
2018-09-17 00:00:00-04:00,52.23820114135742,106.46992492675781,57.99150085449219
2018-09-18 00:00:00-04:00,52.32450866699219,107.48580932617188,58.355499267578125
2018-09-19 00:00:00-04:00,52.355674743652344,106.05216217041016,58.7135009765625
2018-09-20 00:00:00-04:00,52.75367736816406,107.82759857177734,59.57849884033203
2018-09-21 00:00:00-04:00,52.18545150756836,108.48271942138672,58.60599899291992
2018-09-24 00:00:00-04:00,52.935890197753906,108.87200164794922,58.97800064086914
2018-09-25 00:00:00-04:00,53.27154541015625,108.66313171386719,59.69449996948242
2018-09-26 00:00:00-04:00,52.84718322753906,108.21688842773438,59.702999114990234
2018-09-27 00:00:00-04:00,53.93327331542969,108.62513732910156,60.36800003051758
2018-09-28 00:00:00-04:00,54.1226921081543,108.58717346191406,60.354000091552734
2018-10-01 00:00:00-04:00,54.48712158203125,109.76447296142578,60.42649841308594
2018-10-02 00:00:00-04:00,54.97142791748047,109.32772827148438,60.38199996948242
2018-10-03 00:00:00-04:00,55.640350341796875,109.34669494628906,60.576499938964844
2018-10-04 00:00:00-04:00,54.66213607788086,107.08705139160156,58.85350036621094
2018-10-05 00:00:00-04:00,53.77503967285156,106.46043395996094,58.39149856567383
2018-10-08 00:00:00-04:00,53.65036392211914,105.24514770507812,57.79600143432617
2018-10-09 00:00:00-04:00,54.39361572265625,106.58385467529297,57.25849914550781
2018-10-10 00:00:00-04:00,51.873775482177734,100.79228210449219,54.608001708984375
2018-10-11 00:00:00-04:00,51.41584396362305,100.55491638183594,54.5369987487793
2018-10-12 00:00:00-04:00,53.25236511230469,104.02986145019531,56.027000427246094
2018-10-15 00:00:00-04:00,52.113529205322266,102.15946197509766,55.12200164794922
2018-10-16 00:00:00-04:00,53.26195526123047,105.38756561279297,56.65399932861328
2018-10-17 00:00:00-04:00,53.03178405761719,105.11222076416016,56.37950134277344
2018-10-18 00:00:00-04:00,51.79225158691406,103.01396179199219,54.89550018310547
2018-10-19 00:00:00-04:00,52.581050872802734,103.16588592529297,55.25899887084961
2018-10-22 00:00:00-04:00,52.90232849121094,104.08683013916016,55.56850051879883
2018-10-23 00:00:00-04:00,53.40101623535156,102.63418579101562,55.74549865722656
2018-10-24 00:00:00-04:00,51.56927490234375,97.14642333984375,52.85599899291992
